Date,Product Name,Category,Sales Revenue,Quantity Sold,Cost Price,Selling Price,Profit/Loss,Customer ID,Store Location
2024-05-24,Smartphone,Electronics,12265.259999999998,19,431.13,645.54,4073.7899999999995,9cbbcab0,Charlesmouth
2024-12-04,Sofa,Furniture,9255.36,16,436.73,578.46,2267.6800000000003,7145f410,Tracytown
2024-05-19,Eggs,Groceries,28.3,1,20.79,28.3,7.510000000000002,6f0d89ff,Kellybury
2024-10-07,Sweater,Clothing,4633.35,17,219.25,272.55,906.1000000000001,304afcbf,New Thomasview
2024-11-26,Tablet,Electronics,3850.0199999999995,18,165.41,213.89,872.6399999999999,da416274,East Michaelberg
2024-10-26,Bread,Groceries,342.28,4,77.75,85.57,31.279999999999973,a8127435,Michaelfort
2024-05-12,Smartwatch,Electronics,960.05,13,64.96,73.85,115.57000000000001,bd3c3270,New Jeffrey
2024-03-27,Laptop,Electronics,78.84,6,9.18,13.14,23.760000000000005,89c223a6,Thomasfurt
2024-06-23,Cheese,Groceries,11969.460000000001,18,493.58,664.97,3085.020000000001,7956e28b,Carlland
2024-10-24,T-Shirt,Clothing,6563.64,12,478.62,546.97,820.2000000000003,381c8edb,Lake Vickimouth
2025-02-05,Cabinet,Furniture,1546.02,18,72.24,85.89,245.7000000000001,7b12f0e6,Barbaraport
2024-07-05,Milk,Groceries,7920.2,20,320.13,396.01,1517.6,84e8a7fa,South Kathrynfurt
2024-12-21,Jeans,Clothing,1345.44,4,276.73,336.36,238.51999999999998,ef8351bb,West Miranda
2024-09-25,Chair,Furniture,580.64,16,25.67,36.29,169.91999999999996,d88cc10a,Michellestad
2024-07-23,Action Figure,Toys,2221.56,4,432.39,555.39,492.0,8929fe57,Lake Carolbury
2024-10-20,Doll,Toys,3015.96,6,413.27,502.66,536.3400000000003,88c067ec,Port Tara
2025-02-11,Sweater,Clothing,3321.42,6,480.62,553.57,437.7000000000003,5a2c897d,Rebeccatown
2024-12-07,Jacket,Clothing,6779.259999999999,17,271.16,398.78,2169.539999999999,15752032,Karenburgh
2024-10-05,Table,Furniture,5119.200000000001,12,362.98,426.6,763.44,eb350c12,North Joseph
2024-10-15,Bread,Groceries,415.6,8,41.06,51.95,87.12,251f6723,West Wandamouth
2024-09-24,Table,Furniture,1305.18,2,485.69,652.59,333.80000000000007,1be18f0b,Nelsonborough
2024-10-20,Chair,Furniture,11969.28,18,477.74,664.96,3369.9600000000005,89ef63c2,Fergusontown
2024-09-21,Tablet,Electronics,2634.3,6,306.57,439.05,794.8800000000001,4a64ddd2,Gomezchester
2024-10-13,Cheese,Groceries,1836.24,7,196.05,262.32,463.8899999999999,3907a740,Jessicamouth
2024-09-23,T-Shirt,Clothing,4641.52,13,259.5,357.04,1268.0200000000002,1bf5d745,Ibarramouth
2025-02-25,Bread,Groceries,5935.599999999999,19,248.96,312.4,1205.3599999999994,ca6b4dc3,Moorehaven
2024-06-07,Smartwatch,Electronics,2601.2,5,393.11,520.24,635.65,86b5c622,East John
2024-11-18,Board Game,Toys,9001.06,19,421.6,473.74,990.6599999999997,ae5b6e64,Port Ethanhaven
2024-08-02,Sofa,Furniture,1492.1100000000001,3,383.67,497.37,341.09999999999997,b1a3f498,East Matthew
2024-09-19,Jacket,Clothing,2415.42,6,280.21,402.57,734.1600000000001,d762df44,Phillipsshire
2024-10-24,Lego Set,Toys,1439.36,16,66.23,89.96,379.67999999999984,e4eabced,North David
2025-01-27,Eggs,Groceries,3958.8499999999995,7,448.98,565.55,815.9899999999996,9c04fb10,Woodmouth
2025-01-16,Bed,Furniture,6119.2,16,291.54,382.45,1454.5599999999995,c52903ef,Anthonyville
2024-11-17,Action Figure,Toys,10982.16,18,415.27,610.12,3507.3,e72fe465,Brandonhaven
2024-06-26,Smartphone,Electronics,208.68,1,167.19,208.68,41.49000000000001,6a348583,Phillipview
2024-11-20,Tablet,Electronics,160.94,1,130.94,160.94,30.0,6d799dcd,North Denise
2024-06-29,Laptop,Electronics,236.88,1,158.27,236.88,78.60999999999999,4625b282,New Mindy
2024-12-07,Doll,Toys,894.72,2,317.84,447.36,259.0400000000001,811293c7,Lindsayburgh
2025-02-11,Jeans,Clothing,12825.8,20,461.3,641.29,3599.7999999999993,88b2985d,Port Jeremy
2024-05-27,Table,Furniture,3502.6499999999996,15,163.76,233.51,1046.25,119ea8be,Christopherville
2024-08-27,T-Shirt,Clothing,4558.32,18,171.77,253.24,1466.46,bf0154a5,East Barbara
2024-06-15,Smartphone,Electronics,1052.8,20,37.86,52.64,295.6,821726f1,East Michelle
2025-03-11,Table,Furniture,1545.6,4,311.02,386.4,301.52,92f8dca3,Thompsonland
2025-01-17,Board Game,Toys,8099.400000000001,12,481.73,674.95,2318.6400000000003,93b18691,Montoyaville
2024-07-02,Table,Furniture,7464.400000000001,20,293.88,373.22,1586.8000000000006,5a9669cd,Lake Michael
2024-07-07,Laptop,Electronics,1012.2,15,55.24,67.48,183.60000000000002,f3e58ddd,North Robertshire
2024-06-09,Tablet,Electronics,941.5699999999999,7,98.07,134.51,255.07999999999998,3c6023ac,Lake Marcus
2025-03-17,Smartwatch,Electronics,3032.21,19,117.56,159.59,798.57,8a5ac8ba,Lindseyside
2024-06-12,Puzzle,Toys,1612.8200000000002,11,107.38,146.62,431.6400000000001,ff51090a,West Kevinshire
2024-06-25,Smartwatch,Electronics,6371.400000000001,14,408.39,455.1,653.9400000000005,ef15b5ec,Kimberlyville
2024-12-08,Eggs,Groceries,6256.200000000001,12,397.53,521.35,1485.8400000000006,2f71f467,Jenkinsstad
2025-03-09,Shoes,Clothing,3445.32,6,413.73,574.22,962.94,1bf13325,Josephside
2024-08-04,Sofa,Furniture,473.8,4,86.41,118.45,128.16000000000003,8ed5170e,Jessicaview
2024-05-07,Smartwatch,Electronics,3847.2000000000003,15,215.49,256.48,614.8500000000001,5bf67a70,South Greg
2024-05-19,Bread,Groceries,3073.07,11,220.81,279.37,644.1600000000001,65fc856d,Port Christopherville
2024-12-04,Chair,Furniture,1365.18,2,466.53,682.59,432.1200000000001,f1b389cf,Taylorview
2024-07-22,Headphones,Electronics,8354.64,14,424.25,596.76,2415.14,af17e922,Port Hunterland
2025-03-09,Bread,Groceries,4993.03,7,481.67,713.29,1621.3399999999997,7e01dd83,South Joshuashire
2025-02-22,Smartphone,Electronics,6224.58,18,272.84,345.81,1313.4600000000005,82166d24,New Bryanmouth
2024-06-03,Bread,Groceries,4998.34,17,236.04,294.02,985.6599999999999,0c3de115,East Maryport
2024-06-10,Fruits,Groceries,661.6800000000001,6,74.4,110.28,215.27999999999997,3290d8b3,South Erinfort
2024-10-04,Cabinet,Furniture,232.03,1,176.93,232.03,55.099999999999994,7da5cffb,Norrisville
2025-03-01,Tablet,Electronics,3287.57,19,131.87,173.03,782.04,9f7c501b,New Davidmouth
2025-01-15,Tablet,Electronics,513.0,3,129.61,171.0,124.16999999999996,b00e7966,Ashleyland
2024-11-13,Fruits,Groceries,462.54,6,68.1,77.09,53.940000000000055,4a9ba50f,East Gregory
2024-05-24,Headphones,Electronics,223.89,17,10.25,13.17,49.64,5f80ba09,Lake Gary
2024-10-25,Jacket,Clothing,5361.59,13,324.99,412.43,1136.72,f58acb17,Suarezville
2024-06-03,Puzzle,Toys,5558.1,15,284.6,370.54,1289.1,8ed8d257,Rebeccamouth
2024-09-23,Smartwatch,Electronics,7515.0,20,311.5,375.75,1285.0,691e69f4,North Andrewshire
2024-08-12,Smartwatch,Electronics,4657.900000000001,13,288.07,358.3,912.9900000000002,8caa32d1,Gainesstad
2024-06-03,Action Figure,Toys,331.62,3,76.92,110.54,100.86000000000001,75899ed8,Scottfort
2024-12-09,Jeans,Clothing,770.9,13,49.61,59.3,125.96999999999997,fd8b7867,East Johnnyfort
2024-10-02,Cheese,Groceries,2676.96,8,262.19,334.62,579.44,0f27384c,South Crystalton
2024-05-26,Sofa,Furniture,8951.04,16,491.28,559.44,1090.5600000000013,23837b9b,Mezaport
2024-04-03,Sweater,Clothing,110.08,1,95.59,110.08,14.489999999999995,c4c9bbe0,Moniquechester
2025-01-12,Fruits,Groceries,454.37,7,45.69,64.91,134.54,4300f88d,West Karen
2024-09-18,Headphones,Electronics,138.26,1,113.87,138.26,24.389999999999986,1dcd2a57,Dylanhaven
2024-08-28,Shoes,Clothing,4706.099999999999,7,450.75,672.3,1550.8499999999997,7d3be4c5,West Jamesside
2024-08-18,T-Shirt,Clothing,7012.96,16,350.02,438.31,1412.6400000000003,3a3b494e,South Brittany
2024-04-10,Doll,Toys,673.02,6,79.05,112.17,198.72000000000003,1e134b79,Lunaborough
2024-07-14,Puzzle,Toys,7654.93,17,304.55,450.29,2477.58,457ae4ac,North Jennifer
2025-01-12,Bread,Groceries,999.1800000000001,6,123.48,166.53,258.29999999999995,25dd6485,Jessicaton
2024-06-23,Lego Set,Toys,7971.68,16,405.73,498.23,1480.0,545f2a7a,Josephton
2024-08-29,Bread,Groceries,5944.56,17,298.36,349.68,872.4399999999998,c163ba85,Port Jamesfurt
2024-04-14,Board Game,Toys,7476.12,12,429.4,623.01,2323.32,b0d89227,Curtisbury
2024-08-03,Doll,Toys,4013.1,9,366.52,445.9,714.42,634cf1a3,East Maria
2024-12-29,Fruits,Groceries,2709.3,5,427.57,541.86,571.45,24aad2e0,New Daniellemouth
2024-08-07,Sofa,Furniture,126.22,2,49.01,63.11,28.200000000000003,54633ad8,Lake Cassandra
2025-02-09,Jeans,Clothing,3478.6400000000003,11,242.92,316.24,806.5200000000002,d4b3f858,Dustinland
2024-06-02,T-Shirt,Clothing,1674.78,3,377.05,558.26,543.6299999999999,5b9fc908,Russellburgh
2024-07-10,T-Shirt,Clothing,44.68,4,8.95,11.17,8.880000000000003,50d40ab7,South Leslieville
2024-12-01,Action Figure,Toys,796.32,9,59.56,88.48,260.28000000000003,55f7c09d,Lake Robert
2024-11-07,Eggs,Groceries,2832.6200000000003,7,307.55,404.66,679.7700000000001,90a093c7,Juliechester
2025-01-30,Chair,Furniture,4901.7,15,231.98,326.78,1421.9999999999998,48b52d37,Rosariofort
2024-06-18,Cheese,Groceries,8436.16,16,462.5,527.26,1036.1599999999999,924b474c,Ashleyview
2024-07-30,Sweater,Clothing,1354.64,2,459.72,677.32,435.20000000000005,316487b5,Smithland
2024-09-18,Smartphone,Electronics,3534.0,10,267.15,353.4,862.5,a077cdef,Cameronton
2024-11-26,T-Shirt,Clothing,1363.74,3,336.94,454.58,352.91999999999996,5962020e,South Andrewburgh
2024-08-12,Board Game,Toys,1631.16,12,91.47,135.93,533.5200000000001,851e86b8,South Ryan
2024-10-27,Sweater,Clothing,1859.99,11,131.06,169.09,418.33000000000004,193936d8,South Joseph
